symbol,side,entry_date,entry_price,sl_price,tp_price,dqs_score,regime,strategy,approved,reject_reason,promoted,exit_date,exit_price,exit_reason,hours_held,pnl_usd,pnl_pct,risk_usd,kelly_fraction,win,notes,intent,outcome,crowded,data_quality,sl_original,atr_at_entry,calibration_prob,calibration_level
XRPUSDT,LONG,2026-01-01 12:30:00,1.852,1.8433,1.85896,54.04,MIXED,mean_reversion,False,RegimeGate: DQS 54 < 60 for MIXED,False,,0,REJECTED,0,0,0,179.99430000000314,0.8999999999999999,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,1.8433,0.0028999999999999976,0.0,
SOLUSDT,SHORT,2026-01-01 12:45:00,124.96,125.6221,124.43032,50.53,MIXED,mean_reversion,False,RegimeGate: DQS 51 < 60 for MIXED,False,,0,REJECTED,0,0,0,179.95878000000258,0.8999999999999999,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,125.6221,0.220714285714288,0.0,
XRPUSDT,LONG,2026-01-01 12:45:00,1.8517,1.8437,1.8581,54.04,MIXED,mean_reversion,False,RegimeGate: DQS 54 < 60 for MIXED,False,,0,REJECTED,0,0,0,172.80800000000016,0.8999999999999999,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,1.8437,0.002678571428571435,0.0,
XRPUSDT,LONG,2026-01-01 13:00:00,1.8542,1.8462,1.8606,54.04,MIXED,mean_reversion,False,RegimeGate: DQS 54 < 60 for MIXED,False,,0,REJECTED,0,0,0,172.57600000000016,0.8999999999999999,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,1.8462,0.002664285714285738,0.0,
BTCUSDT,LONG,2026-01-01 13:15:00,87942.7,87708.2714,88130.24288,53.56,MIXED,mean_reversion,False,RegimeGate: DQS 54 < 60 for MIXED,False,,0,REJECTED,0,0,0,106.43058439999967,0.8999999999999999,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,87708.2714,78.14285714285923,0.0,
XRPUSDT,SHORT,2026-01-01 13:15:00,1.856,1.8646,1.84456,91.83,MIXED,mean_reversion,False,CalibrationGate: prob 0.33 < 0.40 (symbol_curve),False,,0,REJECTED,0,0,0,0.0,0.0,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,1.8646,0.0028571428571428754,0.3333,symbol_curve
BTCUSDT,LONG,2026-01-01 13:30:00,87942.2,87706.2286,88178.1714,53.56,MIXED,trend_following,False,RegimeGate: DQS 54 < 60 for MIXED,False,,0,REJECTED,0,0,0,59.936735599998705,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,87706.2286,78.65714285714368,0.0,
XRPUSDT,SHORT,2026-01-01 13:30:00,1.8561,1.8645,1.8449,91.83,MIXED,trend_following,False,CalibrationGate: prob 0.33 < 0.40 (symbol_curve),False,,0,REJECTED,0,0,0,0.0,0.0,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,1.8645,0.002807142857142881,0.3333,symbol_curve
XRPUSDT,SHORT,2026-01-01 13:45:00,1.8573,1.8662,1.84546,91.83,MIXED,trend_following,False,CalibrationGate: prob 0.33 < 0.40 (symbol_curve),False,,0,REJECTED,0,0,0,0.0,0.0,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,1.8662,0.0029571428571428804,0.3333,symbol_curve
ETHUSDT,LONG,2026-01-01 14:00:00,2981.22,2961.24,3007.194,62.26,VOLATILE,mean_reversion,False,CalibrationGate: prob 0.35 < 0.40 (global_curve),False,,0,REJECTED,0,0,0,179.99982000000017,0.8999999999999999,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,2961.24,4.439999999999925,0.3478,global_curve
SOLUSDT,SHORT,2026-01-01 14:00:00,124.78,125.4614,124.23488,50.38,MIXED,trend_following,False,RegimeGate: DQS 50 < 60 for MIXED,False,,0,REJECTED,0,0,0,59.96319999999969,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,125.4614,0.22714285714285967,0.0,
XRPUSDT,SHORT,2026-01-01 14:00:00,1.8586,1.8679,1.8462,96.1,MIXED,trend_following,False,V7_KELLY_ZERO: Kelly=0 (sizing veto),False,,0,REJECTED,0,0,0,0.0,0.0,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,1.8679,0.0031000000000000077,0.75,symbol_curve
ETHUSDT,LONG,2026-01-01 14:15:00,2978.48,2957.6225,3005.59475,68.06,VOLATILE,mean_reversion,False,CalibrationGate: prob 0.35 < 0.40 (global_curve),False,,0,REJECTED,0,0,0,280.095367500001,2.0999999999999996,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,2957.6225,4.634999999999926,0.3478,global_curve
SOLUSDT,SHORT,2026-01-01 14:15:00,124.49,125.2314,123.7486,50.38,MIXED,trend_following,False,RegimeGate: DQS 50 < 60 for MIXED,False,,0,REJECTED,0,0,0,59.979259999999904,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,125.2314,0.24714285714285872,0.0,
XRPUSDT,LONG,2026-01-01 14:15:00,1.8524,1.842,1.8663,67.38,MIXED,trend_following,True,Below min notional ($0.00),False,2026-01-01 14:30:00,0,EXPIRED,0,0,0,104.99839999999965,0.35,False,treatment_b_phase2,TRADE,EXPIRED,False,0.0,0.0,0.0,0.0,
BTCUSDT,LONG,2026-01-01 14:30:00,87852.0,87574.65,88129.35,50.38,MIXED,trend_following,False,RegimeGate: DQS 50 < 60 for MIXED,False,,0,REJECTED,0,0,0,59.90760000000126,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,87574.65,92.44999999999916,0.0,
SOLUSDT,SHORT,2026-01-01 14:30:00,124.62,125.4043,123.8357,50.38,MIXED,mean_reversion,False,RegimeGate: DQS 50 < 60 for MIXED,False,,0,REJECTED,0,0,0,179.9968500000004,0.8999999999999999,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,125.4043,0.26142857142857323,0.0,
BTCUSDT,LONG,2026-01-01 14:45:00,87915.4,87632.1143,88198.6857,50.38,MIXED,trend_following,False,RegimeGate: DQS 50 < 60 for MIXED,False,,0,REJECTED,0,0,0,59.77328269999854,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,87632.1143,94.4285714285704,0.0,
SOLUSDT,SHORT,2026-01-01 14:45:00,124.69,125.455,123.925,50.38,MIXED,trend_following,False,RegimeGate: DQS 50 < 60 for MIXED,False,,0,REJECTED,0,0,0,59.97600000000005,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,125.455,0.25500000000000156,0.0,
XRPUSDT,LONG,2026-01-01 14:45:00,1.8552,1.8445,1.8659,55.18,MIXED,trend_following,False,RegimeGate: DQS 55 < 60 for MIXED,False,,0,REJECTED,0,0,0,59.99489999999962,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,1.8445,0.0035714285714285904,0.0,
XRPUSDT,LONG,2026-01-01 15:15:00,1.8534,1.8424,1.8644,58.9,MIXED,trend_following,False,RegimeGate: DQS 59 < 60 for MIXED,False,,0,REJECTED,0,0,0,59.993999999999446,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,1.8424,0.0036714285714285794,0.0,
SOLUSDT,SHORT,2026-01-01 12:45:00,124.96,124.96,124.2979,50.53,MIXED,mean_reversion,True,,True,2026-01-01 16:00:00,124.96,SL_HIT,3.25,-37.36,-20.76,179.96,0.8999999999999999,False,treatment_b_phase2,TRADE,LOSS,False,100.0,125.6221,0.220714285714288,0.0,
XRPUSDT,SHORT,2026-01-01 17:00:00,1.8677,1.8838,1.83286,87.6,MIXED,mean_reversion,False,V7_KELLY_ZERO: Kelly=0 (sizing veto),False,,0,REJECTED,0,0,0,0.0,0.0,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,1.8838,0.00536428571428571,0.5,symbol_curve
XRPUSDT,SHORT,2026-01-01 17:15:00,1.8701,1.8869,1.83357,87.6,MIXED,mean_reversion,False,V7_KELLY_ZERO: Kelly=0 (sizing veto),False,,0,REJECTED,0,0,0,0.0,0.0,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,1.8869,0.005614285714285715,0.5,symbol_curve
XRPUSDT,SHORT,2026-01-01 17:30:00,1.8709,1.8877,1.83437,87.6,MIXED,mean_reversion,False,V7_KELLY_ZERO: Kelly=0 (sizing veto),False,,0,REJECTED,0,0,0,0.0,0.0,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,1.8877,0.005614285714285715,0.5,symbol_curve
XRPUSDT,LONG,2026-01-01 18:00:00,1.8662,1.8501,1.88713,55.18,MIXED,mean_reversion,False,RegimeGate: DQS 55 < 60 for MIXED,False,,0,REJECTED,0,0,0,179.32180000000002,0.8999999999999999,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,1.8501,0.005378571428571423,0.0,
